User_ID,Scenario_ID,Question_Text,P_human_final,P_human_syn,Risk_final,Subj_final,Info_final,Lit_final,Trust_Norm_final
1,0,"Bạn là quản lý kho của một cửa hàng văn phòng phẩm nhỏ, cần nhập 50 ram giấy A4 (tổng trọng lượng khoảng 100-120kg). Nhà cung cấp A báo giá trọn gói 2.300.000đ giao tận nơi. Nhà cung cấp B báo giá chỉ 1.800.000đ, nhưng bạn phải tự lái xe 7km đường giờ cao điểm để chở về.",0.0,1.0,0.0,0.0,0.0,0.75,0.625
4,0,"Bạn là quản lý kho của một cửa hàng văn phòng phẩm nhỏ, cần nhập 50 ram giấy A4 (tổng trọng lượng khoảng 100-120kg). Nhà cung cấp A báo giá trọn gói 2.300.000đ giao tận nơi. Nhà cung cấp B báo giá chỉ 1.800.000đ, nhưng bạn phải tự lái xe 7km đường giờ cao điểm để chở về.",1.0,0.0,0.0,0.0,0.0,0.75,0.75
6,0,"Bạn là quản lý kho của một cửa hàng văn phòng phẩm nhỏ, cần nhập 50 ram giấy A4 (tổng trọng lượng khoảng 100-120kg). Nhà cung cấp A báo giá trọn gói 2.300.000đ giao tận nơi. Nhà cung cấp B báo giá chỉ 1.800.000đ, nhưng bạn phải tự lái xe 7km đường giờ cao điểm để chở về.",1.0,0.0,0.0,0.0,0.0,1.0,0.875
7,0,"Bạn là quản lý kho của một cửa hàng văn phòng phẩm nhỏ, cần nhập 50 ram giấy A4 (tổng trọng lượng khoảng 100-120kg). Nhà cung cấp A báo giá trọn gói 2.300.000đ giao tận nơi. Nhà cung cấp B báo giá chỉ 1.800.000đ, nhưng bạn phải tự lái xe 7km đường giờ cao điểm để chở về.",1.0,0.0,0.0,0.0,0.0,0.5,0.625
11,0,"Bạn là quản lý kho của một cửa hàng văn phòng phẩm nhỏ, cần nhập 50 ram giấy A4 (tổng trọng lượng khoảng 100-120kg). Nhà cung cấp A báo giá trọn gói 2.300.000đ giao tận nơi. Nhà cung cấp B báo giá chỉ 1.800.000đ, nhưng bạn phải tự lái xe 7km đường giờ cao điểm để chở về.",1.0,0.0,0.0,0.0,0.0,0.5,0.5
12,0,"Bạn là quản lý kho của một cửa hàng văn phòng phẩm nhỏ, cần nhập 50 ram giấy A4 (tổng trọng lượng khoảng 100-120kg). Nhà cung cấp A báo giá trọn gói 2.300.000đ giao tận nơi. Nhà cung cấp B báo giá chỉ 1.800.000đ, nhưng bạn phải tự lái xe 7km đường giờ cao điểm để chở về.",0.0,1.0,0.0,0.0,0.0,0.5,0.5
17,0,"Bạn là quản lý kho của một cửa hàng văn phòng phẩm nhỏ, cần nhập 50 ram giấy A4 (tổng trọng lượng khoảng 100-120kg). Nhà cung cấp A báo giá trọn gói 2.300.000đ giao tận nơi. Nhà cung cấp B báo giá chỉ 1.800.000đ, nhưng bạn phải tự lái xe 7km đường giờ cao điểm để chở về.",1.0,0.0,0.0,0.0,0.0,0.75,0.625
18,0,"Bạn là quản lý kho của một cửa hàng văn phòng phẩm nhỏ, cần nhập 50 ram giấy A4 (tổng trọng lượng khoảng 100-120kg). Nhà cung cấp A báo giá trọn gói 2.300.000đ giao tận nơi. Nhà cung cấp B báo giá chỉ 1.800.000đ, nhưng bạn phải tự lái xe 7km đường giờ cao điểm để chở về.",1.0,0.0,0.0,0.0,0.0,0.5,0.25
20,0,"Bạn là quản lý kho của một cửa hàng văn phòng phẩm nhỏ, cần nhập 50 ram giấy A4 (tổng trọng lượng khoảng 100-120kg). Nhà cung cấp A báo giá trọn gói 2.300.000đ giao tận nơi. Nhà cung cấp B báo giá chỉ 1.800.000đ, nhưng bạn phải tự lái xe 7km đường giờ cao điểm để chở về.",0.0,1.0,0.0,0.0,0.0,0.75,0.375
21,0,"Bạn là quản lý kho của một cửa hàng văn phòng phẩm nhỏ, cần nhập 50 ram giấy A4 (tổng trọng lượng khoảng 100-120kg). Nhà cung cấp A báo giá trọn gói 2.300.000đ giao tận nơi. Nhà cung cấp B báo giá chỉ 1.800.000đ, nhưng bạn phải tự lái xe 7km đường giờ cao điểm để chở về.",0.0,1.0,0.0,0.0,0.0,0.25,0.375
